,기준년월,시군명,20~29세,30~39세,40~49세,50~59세,60세 이상
302,2023-10,의왕시,19896,22329,22702,27927,40480
303,2023-10,의정부시,60090,60525,71531,81988,119708
304,2023-10,이천시,29280,30412,34629,36183,54371
305,2023-10,파주시,56769,69304,84372,82026,112763
306,2023-10,평택시,77330,92140,100932,97046,117433
307,2023-10,포천시,16171,13813,17549,27902,50947
308,2023-10,하남시,36075,51745,61113,47894,70203
309,2023-10,화성시,110879,155009,182965,136303,149242
310,2023-11,가평군,5677,5426,7435,10788,25686
311,2023-11,고양시,134885,143554,169048,198243,259629
312,2023-11,과천시,9542,12043,12519,13181,17838
313,2023-11,광명시,33240,36698,46430,48337,68637
314,2023-11,광주시,41595,52466,68606,67838,95869
315,2023-11,구리시,23237,23961,29826,34409,47179
316,2023-11,군포시,33558,35874,39497,47010,66319
317,2023-11,김포시,49436,67089,94340,72528,103667
318,2023-11,남양주시,81674,85125,128603,126933,175716
319,2023-11,동두천시,9689,8877,12334,16024,29457
320,2023-11,부천시,98955,107170,118825,139456,206302
321,2023-11,성남시,116802,133707,147585,154230,223018
322,2023-11,수원시,176408,183881,195702,201486,243195
323,2023-11,시흥시,64490,76364,93382,92247,97441
324,2023-11,안산시,94265,82690,94632,125233,142071
325,2023-11,안성시,22238,21523,29345,32635,54547
326,2023-11,안양시,68315,78126,82863,94635,135835
327,2023-11,양주시,29542,33695,43868,45009,66066
328,2023-11,양평군,9883,10502,16116,21400,50649
329,2023-11,여주시,11257,11285,15491,20317,40402
330,2023-11,연천군,4523,3963,4362,6574,17256
331,2023-11,오산시,28981,35107,44503,36229,41194
332,2023-11,용인시,132780,133232,190557,182196,234441
333,2023-11,의왕시,19902,22854,22764,27939,40542
334,2023-11,의정부시,59912,60471,71324,82218,119850
335,2023-11,이천시,29034,30332,34587,36321,54464
336,2023-11,파주시,56654,69250,84318,82368,113021
337,2023-11,평택시,77117,92336,100969,97587,117586
338,2023-11,포천시,16120,13797,17416,27924,50987
339,2023-11,하남시,36032,51677,61166,48091,70333
340,2023-11,화성시,110779,155213,183260,137311,149846
341,2023-12,가평군,5700,5437,7459,10845,25749
342,2023-12,고양시,134406,143591,168583,198739,260305
343,2023-12,과천시,9503,12022,12474,13229,17887
344,2023-12,광명시,33150,36706,46273,48513,68751
345,2023-12,광주시,41450,52357,68498,68090,96109
346,2023-12,구리시,23177,23913,29694,34526,47222
347,2023-12,군포시,33421,35657,39333,47043,66429
348,2023-12,김포시,49355,66699,94373,72951,103872
349,2023-12,남양주시,81665,85052,128329,127403,176180
350,2023-12,동두천시,9650,8855,12232,16052,29528
351,2023-12,부천시,98528,106793,118285,139754,206727
352,2023-12,성남시,116584,134145,147372,154797,223470
353,2023-12,수원시,175839,184342,195012,202330,243715
354,2023-12,시흥시,64220,76407,93191,92668,97803
355,2023-12,안산시,93690,82516,94048,125407,142378
356,2023-12,안성시,22134,21541,29265,32821,54645
357,2023-12,안양시,68147,78448,82828,95037,136317
358,2023-12,양주시,29681,34043,43977,45437,66402
359,2023-12,양평군,9822,10549,16122,21442,50825
360,2023-12,여주시,11209,11324,15462,20384,40517
361,2023-12,연천군,4498,3976,4342,6579,17286
362,2023-12,오산시,28851,34992,44413,36503,41276
363,2023-12,용인시,132631,133020,190127,183137,235073
364,2023-12,의왕시,19759,22979,22715,27898,40497
365,2023-12,의정부시,59680,60343,71137,82385,120029
366,2023-12,이천시,28876,30294,34510,36450,54586
367,2023-12,파주시,56512,69216,84109,82770,113223
368,2023-12,평택시,76968,92619,100863,98139,117794
369,2023-12,포천시,16074,13767,17319,27974,51044
370,2023-12,하남시,35977,51573,61110,48250,70493
371,2023-12,화성시,110981,155558,183476,138446,150706
