년월,출발지코드,도착지코드,종합 유입인구
202003,경기도외,화성시,15.080000000000002
202003,경기도외,광주시,12.989999999999998
202003,경기도외,양주시,5.9
202003,경기도외,포천시,3.1399999999999997
202003,경기도외,여주시,10.05
202003,경기도외,가평군,1.81
202003,경기도외,양평군,3.47
202003,경기도외,수원시,28.92
202003,경기도외,성남시,28.04
202003,경기도외,의정부시,9.7
202003,경기도외,안양시,11.510000000000003
202003,경기도외,부천시,22.94
202003,경기도외,광명시,5.9799999999999995
202003,경기도외,평택시,13.38
202003,경기도외,동두천시,5.779999999999999
202003,경기도외,안산시,14.26
202003,경기도외,고양시,28.240000000000002
202003,경기도외,과천시,0.6800000000000002
202003,경기도외,구리시,6.6
202003,경기도외,남양주시,26.479999999999997
202003,경기도외,오산시,2.59
202003,경기도외,시흥시,19.57
202003,경기도외,군포시,9.11
202003,경기도외,의왕시,3.19
202003,경기도외,하남시,9.100000000000001
202003,경기도외,용인시,28.53
202003,경기도외,파주시,7.65
202003,경기도외,이천시,13.780000000000003
202003,경기도외,안성시,7.72
202003,경기도외,김포시,11.080000000000002
202003,경기도외,화성시,17.78
202003,경기도외,광주시,9.13
202003,경기도외,안산시,6.13
202003,경기도외,고양시,9.45
202003,경기도외,과천시,0.07
202003,경기도외,구리시,0.16
202003,경기도외,남양주시,10.44
202003,경기도외,오산시,1.2399999999999998
202003,경기도외,시흥시,5.210000000000001
202003,경기도외,군포시,2.21
202003,경기도외,의왕시,1.1199999999999999
202003,경기도외,하남시,0.9
202003,경기도외,용인시,7.700000000000001
202003,경기도외,파주시,3.2900000000000005
202003,경기도외,이천시,1.1900000000000002
202003,경기도외,안성시,3.6100000000000003
202003,경기도외,김포시,3.07
202003,경기도외,화성시,4.89
202003,경기도외,광주시,4.5200000000000005
202003,경기도외,양주시,1.4
202003,경기도외,포천시,0.9900000000000002
202003,경기도외,여주시,3.15
202003,경기도외,연천군,0.32
202003,경기도외,가평군,2.48
202003,경기도외,양평군,0.56
202003,경기도외,수원시,30.899999999999995
202003,경기도외,성남시,10.450000000000001
202003,경기도외,의정부시,6.47
202003,경기도외,안양시,6.59
202003,경기도외,부천시,7.11
202003,경기도외,광명시,3.2299999999999995
202003,경기도외,평택시,9.549999999999999
202003,경기도외,동두천시,0.33
202003,경기도외,안산시,6.9399999999999995
202003,경기도외,고양시,11.669999999999998
202003,경기도외,과천시,0.42
202003,경기도외,구리시,4.97
202003,경기도외,남양주시,9.489999999999998
202003,경기도외,오산시,0.96
202003,경기도외,시흥시,6.709999999999999
202003,경기도외,군포시,4.83
202003,경기도외,의왕시,1.0000000000000002
202003,경기도외,하남시,4.76
202003,경기도외,용인시,20.82
202003,경기도외,파주시,1.49
202003,경기도외,이천시,4.11
202003,경기도외,안성시,6.199999999999999
202003,경기도외,김포시,7.41
202003,경기도외,화성시,16.22
202003,경기도외,광주시,13.92
202003,경기도외,양주시,2.11
202003,경기도외,포천시,2.36
202003,경기도외,여주시,4.95
202003,경기도외,연천군,0.25
202003,경기도외,가평군,0.11
202003,경기도외,양평군,5.07
202003,경기도외,수원시,6.95
202003,경기도외,성남시,6.430000000000001
202003,경기도외,의정부시,1.35
202003,경기도외,안양시,5.43
202003,경기도외,부천시,4.7200000000000015
202003,경기도외,광명시,7.640000000000001
202003,경기도외,평택시,8.77
202003,경기도외,동두천시,1.76
202003,경기도외,안산시,10.91
202003,경기도외,고양시,14.069999999999999
202003,경기도외,과천시,1.7600000000000002
202003,경기도외,구리시,2.26
202003,경기도외,남양주시,4.950000000000001
202003,경기도외,오산시,2.4199999999999995
