기준년월,요일구분,출발 시간대,출발지_시군구코드,출발지_시도명,출발지_시군구명,출발지_중심_X좌표,출발지_중심_Y좌표,이동수단 구분,성별,연령별(10세),인구 수
202401,일,13,41465,경기도,용인시 수지구,962048,1926137,7,M,2,552.45
202401,화,16,41650,경기도,포천시,978069,1996673,3,M,2,1287.64
202401,화,1,41463,경기도,용인시 기흥구,966424,1918787,3,M,9,171.64
202401,금,12,41194,경기도,부천시 소사구,937850,1941972,1,M,7,1372.84
202401,월,7,41196,경기도,부천시 오정구,937564,1947819,3,W,4,639.69
202401,일,12,41450,경기도,하남시,974018,1947095,7,W,1,129.5
202401,일,0,41192,경기도,부천시 원미구,936267,1944735,3,M,2,493.61
202401,금,0,41115,경기도,수원시 팔달구,957104,1919945,1,W,6,35.02
202401,금,22,41465,경기도,용인시 수지구,962048,1926137,7,W,6,246.7
202401,일,18,41115,경기도,수원시 팔달구,957104,1919945,1,M,6,1464.14
202401,일,1,41450,경기도,하남시,974018,1947095,1,M,4,317.71
202401,금,19,41192,경기도,부천시 원미구,936267,1944735,2,M,5,679.96
202401,금,3,41111,경기도,수원시 장안구,955994,1924011,3,W,4,304.7
202401,월,21,41117,경기도,수원시 영통구,960690,1919671,1,W,2,1100.52
202401,금,13,41117,경기도,수원시 영통구,960690,1919671,5,M,9,3.34
202401,일,9,41210,경기도,광명시,943809,1938625,5,M,2,34.71
202401,목,19,41196,경기도,부천시 오정구,937564,1947819,1,M,1,21
202401,목,1,41210,경기도,광명시,943809,1938625,3,M,5,1133.13
202401,목,1,41450,경기도,하남시,974018,1947095,7,M,6,73.41
202401,목,7,41111,경기도,수원시 장안구,955994,1924011,0,M,9,50.3
202401,월,5,41192,경기도,부천시 원미구,936267,1944735,3,W,6,2447.8
202401,목,3,41463,경기도,용인시 기흥구,966424,1918787,5,M,6,2.93
202401,월,3,41192,경기도,부천시 원미구,936267,1944735,0,W,4,331.78
202401,일,7,41465,경기도,용인시 수지구,962048,1926137,0,W,6,2174.13
202401,수,2,41117,경기도,수원시 영통구,960690,1919671,1,W,6,64.44
202401,목,11,41115,경기도,수원시 팔달구,957104,1919945,7,W,6,882.66
202401,수,2,41463,경기도,용인시 기흥구,966424,1918787,0,W,9,20.8
202401,화,2,41115,경기도,수원시 팔달구,957104,1919945,7,M,4,97.45
202401,화,10,41111,경기도,수원시 장안구,955994,1924011,5,M,3,32.28
202401,목,17,41117,경기도,수원시 영통구,960690,1919671,5,W,8,3.5
202401,토,5,41171,경기도,안양시 만안구,947900,1934052,0,W,6,676.7
202401,목,18,41590,경기도,화성시,942172,1908000,2,W,6,212.59
202401,토,10,41463,경기도,용인시 기흥구,966424,1918787,1,W,5,3282.1
202401,금,6,41171,경기도,안양시 만안구,947900,1934052,1,W,6,1102.06
202401,금,13,41115,경기도,수원시 팔달구,957104,1919945,4,W,7,3.46
202401,토,19,41463,경기도,용인시 기흥구,966424,1918787,3,M,9,336.58
202401,화,7,41650,경기도,포천시,978069,1996673,2,M,7,37.55
202401,토,2,41450,경기도,하남시,974018,1947095,7,W,8,2.75
202401,금,17,41173,경기도,안양시 동안구,951796,1933620,7,M,4,1097.56
202401,목,14,41461,경기도,용인시 처인구,978070,1911643,0,M,1,402.14
202401,일,0,41271,경기도,안산시 상록구,944176,1924186,2,W,3,5.71
202401,금,0,41463,경기도,용인시 기흥구,966424,1918787,7,W,1,7
202401,목,10,41271,경기도,안산시 상록구,944176,1924186,2,W,8,349.81
202401,수,0,41463,경기도,용인시 기흥구,966424,1918787,3,W,5,1202.56
202401,화,23,41463,경기도,용인시 기흥구,966424,1918787,3,M,3,1172.39
202401,월,10,41390,경기도,시흥시,935643,1931618,2,M,1,7
202401,목,4,41115,경기도,수원시 팔달구,957104,1919945,3,M,10,7
202401,수,16,41273,경기도,안산시 단원구,925133,1918594,2,W,1,3.5
202401,월,7,41194,경기도,부천시 소사구,937850,1941972,7,M,4,571.19
202401,월,18,41273,경기도,안산시 단원구,925133,1918594,3,W,3,3773.69
202401,월,14,41173,경기도,안양시 동안구,951796,1933620,6,W,2,2.2
202401,토,7,41192,경기도,부천시 원미구,936267,1944735,0,W,9,62.35
202401,월,0,41273,경기도,안산시 단원구,925133,1918594,7,M,8,6.35
202401,수,5,41271,경기도,안산시 상록구,944176,1924186,6,M,3,2.6
202401,일,17,41115,경기도,수원시 팔달구,957104,1919945,7,M,9,13.57
202401,수,6,41171,경기도,안양시 만안구,947900,1934052,1,W,8,200.94
202401,일,7,41171,경기도,안양시 만안구,947900,1934052,1,M,9,37.46
202401,토,2,41273,경기도,안산시 단원구,925133,1918594,0,M,3,1142.91
202401,토,19,41171,경기도,안양시 만안구,947900,1934052,7,M,9,10.2
202401,금,10,41171,경기도,안양시 만안구,947900,1934052,5,M,9,18.36
202401,목,12,41196,경기도,부천시 오정구,937564,1947819,7,W,4,145.9
202401,목,7,41192,경기도,부천시 원미구,936267,1944735,2,M,6,3999.94
202401,화,9,41194,경기도,부천시 소사구,937850,1941972,1,W,4,1623.21
202401,화,7,41171,경기도,안양시 만안구,947900,1934052,0,M,9,111.82
202401,화,21,41590,경기도,화성시,942172,1908000,2,W,8,4.39
202401,월,8,41192,경기도,부천시 원미구,936267,1944735,3,M,7,3768.7
202401,목,20,41171,경기도,안양시 만안구,947900,1934052,0,M,7,1093.26
202401,화,9,41196,경기도,부천시 오정구,937564,1947819,7,W,3,171.19
202401,목,21,41113,경기도,수원시 권선구,953861,1918083,5,W,5,15.81
202401,화,15,41461,경기도,용인시 처인구,978070,1911643,4,W,3,13.75
202401,일,12,41465,경기도,용인시 수지구,962048,1926137,0,M,10,13.02
202401,금,3,41173,경기도,안양시 동안구,951796,1933620,1,M,3,255.45
202401,화,16,41111,경기도,수원시 장안구,955994,1924011,3,W,3,2312.91
202401,수,12,41210,경기도,광명시,943809,1938625,7,M,7,554.75
202401,월,16,41461,경기도,용인시 처인구,978070,1911643,0,M,3,6630.89
202401,수,9,41271,경기도,안산시 상록구,944176,1924186,2,M,3,808.89
202401,목,11,41465,경기도,용인시 수지구,962048,1926137,3,W,2,2445.86
202401,수,12,41590,경기도,화성시,942172,1908000,2,M,5,205.61
202401,수,4,41171,경기도,안양시 만안구,947900,1934052,5,W,4,9.29
202401,토,1,41463,경기도,용인시 기흥구,966424,1918787,3,M,5,1759.32
202401,목,3,41463,경기도,용인시 기흥구,966424,1918787,3,M,1,21
202401,화,8,41590,경기도,화성시,942172,1908000,0,M,6,37146.79
202401,일,7,41271,경기도,안산시 상록구,944176,1924186,0,W,3,821.41
