순번,행정구역 표준코드,구분,광역 이름,기초 이름,경도,위도,발행명,활성지수,전년 대비 2023년 발행액 증감,활성 순위,비활성 순위 (역순),이용자 제공혜택 개요,올해 대비 2024년 사업 예산 계획,최초 발행 시작일,최종 발행 중지/종료일,발행 유형,이용자 제공혜택 기간,이용자 제공혜택 대상,운영사,"2023년 연중 1인당 월 최대 구매/충전액 (만 원, 10월 기준)","2023년 연중 최대 할인/적립률 (%, 10월 기준)","2023년 발행액 (억 원, 1년간)","2023년 누적 이용자 수 (명, 10월 기준)","2023년 가맹점 수 (곳, 10월 기준)",더 알아보기 URL,비고
188,4673000000,기초,전라남도,구례군,127.4629375,35.2025096,"구례사랑상품권, 구례사랑카드",1.45,확대,8,177,1인당 월 최대 70만 원까지 구매 금액의 10% 할인 또는 적립,축소,2013-03-01,발행 중,"지류, 카드",연중,보편,한국조폐공사,70,10,120,"24,810",885,https://www.gurye.go.kr/kr/subPage.do?menuNo=117001005001,"시스템 도입 2020년, 예산 계획은 증가 계획이었으나, 담당자는 연말까지 구매액이 줄어서 실제 발행액은 축소될 것으로 전망함"
189,4677000000,기초,전라남도,고흥군,127.275507,34.6047049,고흥사랑상품권,0.63,축소,154,31,1인당 월 최대 50만 원까지 구매 금액의 10% 할인 또는 적립,축소,2019-10-23,발행 중,"지류, 카드, 모바일",연중,보편,한국조폐공사,50,10,400,"6,460","2,370",https://www.goheung.go.kr/economy/contentsView.do?pageId=economy36,지류형 상품권 누적 이용자 확인 불가
190,4678000000,기초,전라남도,보성군,127.080088,34.771458,보성사랑상품권,0.87,축소,97,88,1인당 월 최대 70만 원까지 구매금액의 10%할인 또는 적립,유지,2019-09-01,발행 중,"지류, 카드",연중,보편,한국조폐공사,70,10,372,"27,740",100,https://www.boseong.go.kr/www/industry_economy/economy/voucher,-
191,4679000000,기초,전라남도,화순군,126.9864771,35.0645238,화순사랑상품권,0.71,축소,135,50,1인당 월 최대 50만 원까지 구매 금액의 10% 할인 또는 적립,미정,2019-08-28,발행 중,"지류, 카드",연중,보편,한국조폐공사,50,10,700,"19,873","2,806",https://www.hwasun.go.kr/contents.do?S=S01&M=051001000000,-
192,4680000000,기초,전라남도,장흥군,126.9070507,34.681622,정남진장흥사랑상품권,0.75,축소,125,59,1인당 월 최대 50만 원까지 구매 금액의 10% 할인 또는 적립,미정,2019-11-01,발행 중,"지류, 카드",특정,보편,한국조폐공사,50,10,150,"52,160","1,545",https://www.jangheung.go.kr/www/regional_economy/gift_certificate,"2021. 8월 운영대행사 변경으로 이전 자료 파악 불가, 지류의 경우, 가입자 수를 알 수 없어 구매자 수로 집계, 2023년 국비 지원방향:
할인보전금(5%) 지원으로 지방비 부담 완화"
193,4681000000,기초,전라남도,강진군,126.7672,34.64209,강진사랑상품권,0.58,축소,161,24,1인당 월 70만 원까지 구매 금액의 10% 할인 또는 적립,확대,2012-01-01,발행 중,"지류, 카드, 모바일",연중,보편,"한국조폐공사(지류/카드), 한국간판결제진흥원(모바일)",70,10,300,"15,386","1,402",https://www.gangjin.go.kr/www/part/industrial_economy/giftcard,○ 전년도 대비 예산 확대 ○ 2023년 2월 행정안전부 지역사랑상품권 지침 관련 정책변경으로 예산 추이 미정
194,4682000000,기초,전라남도,해남군,126.5994353,34.5740398,해남사랑상품권,0.77,축소,121,64,1인당 월 70만 원까지 구매 금액의 10% 할인 또는 적립,축소,2019-04-13,발행 중,"지류, 모바일, 카드",연중,보편,한국조폐공사,70,10,"1,200","43,136","3,799",https://www.haenam.go.kr/index.9is?contentUid=18e3368f818adfc901818f4d043d2e78,"2019~20년 운영사 변경으로 확인 불가, 상품권 종류별 중복구매 제외"
195,4683000000,기초,전라남도,영암군,126.6967961,34.8001638,영암사랑상품권,0.67,축소,153,32,1인당 월 최대 70만 원까지 구매 금액의 10% 할인 또는 적립,유지,2007-02-01,발행 중,"지류, 모바일, 카드",발행일로부터 5년 이내,보편,"한국조폐공사(지류, 카드), 한국간편결제진흥원(모바일)",70,10,400,"17,041","1,684",https://www.yeongam.go.kr/home/www/info_area/life_11/life_11_07/yeongam.go,시스템상 이용자 수 산출 불가
196,4684000000,기초,전라남도,무안군,126.4817117,34.9904886,무안사랑상품권,0.79,축소,116,69,1인당 월 최대 50만 원까지 구매 금액의 10% 할인 또는 적립,축소,2019-07-10,발행 중,지류,연중,보편,한국조폐공사,50,10,"1,000","30,088","4,066",https://www.muan.go.kr/www/information/industry/muan_voucher/voucher_outline,"지류형은 자료는 알 수 없음
'23. 4월부터 1인 월 50만 원까지로 구매 한도 변경"
197,4686000000,기초,전라남도,함평군,126.5165816,35.065929,함평사랑상품권,1.14,확대,27,158,1인당 월 최대 100만 원까지 구매 금액의 10% 할인 또는 적립,유지,2011-02-16,발행 중,"지류, 모바일(QR+카드)",발행일로부터 5년,보편,한국조폐공사,100,10,400,"27,102","1,002",https://www.hampyeong.go.kr/contentsView.do?pageId=www148,2023년 3월 기준 이용자 수 추출 불가
198,4687000000,기초,전라남도,영광군,126.5120143,35.2772127,영광사랑상품권,0.60,축소,158,27,1인당 월 최대 20만 원까지 구매 금액의 10%할인 또는 적립,축소,2019-01-01,발행 중,"지류, 카드",연중,보편,"코나아이, ITS&G",50,10,400,"57,291","3,180",https://www.yeonggwang.go.kr/subpage/?site=headquarter_new&mn=9403&mode=edit&pg_idx=6734,-
199,4688000000,기초,전라남도,장성군,126.784814,35.301943,장성사랑상품권,0.68,축소,147,38,1인당 월 최대 50만 원까지 구매 금액의 10% 할인 또는 적립,축소,2019-10-01,발행 중,지류. 카드,연중,보편,한국조폐공사,50,10,350,"7,815","1,984",https://www.jangseong.go.kr/home/www/comm/giftcard/giftcard_info,"2019~20년 지류형만 사용해서 정보 알 수 없음, 2021~현재 카드형 자료 기준, 상품권 지침 변경으로 당초 발행계획보다 발행액 감소가 예상됨"
200,4689000000,기초,전라남도,완도군,126.7548524,34.3110391,완도사랑상품권,0.96,축소,72,113,"1인당 월 최대 50만 원까지, 연 최대 500만 원까지 구매 금액의 10% 할인 또는 적립",축소,2019-07-01,발행 중,"지류, 카드, 모바일",연중,보편,한국조폐공사,50,10,500,"21,264","2,376",https://www.wando.go.kr/www/industry/wando_sarang,-
201,4690000000,기초,전라남도,진도군,126.263475,34.486818,진도아리랑상품권,0.74,축소,128,57,1인당 월 최대 70만 원까지 구매 금액의 10% 할인 또는 적립,유지,2019-07-01,발행 중,"지류, 카드",연중,보편,한국조폐공사,70,5,240,"5,047","1,526",https://www.jindo.go.kr/home/sub.cs?m=797,"2021. 6. 21. 상품권 통합관리 시스템 변경으로 2019. ~ 2020. 내역 확인 불가, 2019~2020년 지류만 운영으로 사용자 확인 불가
2021. 7월이후 모바일 상품권 사용자 수 작성"
202,4691000000,기초,전라남도,신안군,126.351124,34.833626,1004섬신안상품권,0.82,축소,108,77,1인당 월 최대 70만 원까지 구매 금액의 10% 할인 또는 적립,축소,2019-08-01,발행 중,"지류, 카드",연중,보편,한국조폐공사,70,10,150,"15,764","1,124",https://shinan.go.kr/home/www/dept_info/dept_info_11/page.wscms,"사용자수 확인이 어려움으로 사용건수로 집계 함 ""2023년 누적이용자수 집계
지류(구매건수)+카드(충전건수)"""
203,4711000000,기초,경상북도,포항시,129.3433898,36.0190333,포항사랑상품권,0.90,축소,90,95,1인당 월 최대 50만 원까지 구매 금액의 10% 할인 또는 적립,축소,2017-01-23,발행 중,"지류, 카드",연중,보편,대구은행,70,10,"3,252","235,551","22,242",https://www.pohang.go.kr/giftcard/contents/main/,-
204,4713000000,기초,경상북도,경주시,129.224784,35.856242,경주페이,1.12,확대,31,154,1인당 월 최대 70만 원까지 구매 금액의 7% 적립,미정,2020-06-01,발행 중,"모바일, 카드",연중,보편,코나아이,70,7,"1,760","162,819","13,447",https://www.gyeongju.go.kr/area/page.do?mnu_uid=2905&,-
205,4715000000,기초,경상북도,김천시,128.1136148,36.1397714,김천사랑상품권,0.70,축소,137,48,1인당 월 최대 50만 원까지 구매 금액의 10% 할인 또는 적립,축소,2019-08-01,발행 중,"지류, 카드",연중,보편,코나아이,50,10,"1,251","104,787","5,291",https://www.gc.go.kr/industry/contents.do?mId=0405000000,"카드 발행 2020년부터 이므로, 사용자수는 카드형 사용자 수 기준이며, 2019년에는 카드형 발급 전이라 사용자 수 확인 불가함 또한 지류 사용자수 확인 불가"
206,4717000000,기초,경상북도,안동시,128.7295375,36.568425,안동사랑상품권,1.04,확대,51,134,1인당 월 최대 70만 원까지 구매 금액의 10% 할인 또는 적립,확대,2019-12-06,발행 중,"지류, 모바일,카드",특정,보편,한국조폐공사,70,10,"1,000","108,204","6,282",https://blog.naver.com/andongcity00/222310394713,-
207,4719000000,기초,경상북도,구미시,128.3443,36.1195987,구미사랑상품권,2.50,확대,1,184,1인당 월 최대 40만 원까지 구매 금액의 10% 할인 또는 적립,미정,2019-07-22,발행 중,"지류, 카드",연중,보편,나이스정보통신,40,10,"1,749","202,359","15,537",https://www.gumi.go.kr/gumigift/,-
208,4721000000,기초,경상북도,영주시,128.624063,36.805667,영주사랑상품권,0.90,축소,87,98,1인당 월 최대 60만 원까지 구매 금액의 10% 할인 또는 적립,유지,2019-07-01,발행 중,"지류, 모바일, 카드",연중,보편,한국조폐공사,60,10,900,"43,078","5,522",https://www.yeongju.go.kr,"지류 : 구매자수, 모바일 및 카드: 가입자수, 모바일 사용자 증가"
209,4723000000,기초,경상북도,영천시,128.938613,35.97326,영천사랑상품권,1.05,확대,48,137,1인당 월 최대 월 70만 원까지 구매 금액의 10% 할인 또는 적립,축소,2019-08-01,발행 중,"지류, 카드",연중,보편,"나이스정보통신, 한국조폐공사",70,10,900,"66,000","3,666",https://www.gb.go.kr/Main/open_contents/section/economy2020/page.do?mnu_uid=7388&LARGE_CODE=690&MEDIUM_CODE=80&SMALL_CODE=10&SMALL_CODE2=20&SMALL_CODE3=70,-
