광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
경기,김포시,202012,음식,아시아음식,일식,2,3,99,224792000,5059,2270629,44434
경기,김포시,202012,음식,아시아음식,중식,3,2,149,479983000,20080,3221363,23904
경기,김포시,202012,음식,양식,스테이크,0,0,6,16116000,340,2685945,47399
경기,김포시,202012,음식,부페,부페,1,0,8,14728000,385,1840950,38254
경기,김포시,202012,일반유통,건설/건축,인테리어,0,0,2,3147000,18,1573450,174828
경기,김포시,202012,일반유통,건설/건축,페인트,0,0,36,39357000,509,1093242,77322
경기,김포시,202012,일반유통,과학기자재,과학기기,0,0,22,149875000,304,6812504,493010
경기,김포시,202012,일반유통,침구류,자석요/온돌매트/옥매트,0,0,1,80000,2,80000,40000
경기,김포시,202012,일반유통,침구류,침구류,3,0,30,56326000,298,1877520,189012
경기,김포시,202012,일반유통,컴퓨터소프트웨어,컴퓨터 소프트웨어,0,0,4,3745000,20,936140,187228
경기,김포시,202012,일반유통,패션잡화,가방/핸드백,0,0,11,10842000,126,985609,86045
경기,김포시,202012,일반유통,패션잡화,시계/귀금속,1,0,35,50735000,306,1449569,165800
경기,김포시,202012,일반유통,패션잡화,신발,1,0,23,34477000,371,1498978,92929
경기,김포시,202012,일반유통,패션잡화,액세서리,0,0,31,46915000,449,1513375,104487
경기,김포시,202012,일반유통,화장품,화장품,3,7,193,154664000,2019,801369,76604
경기,김포시,202012,전문서비스,개인병원,병원-가정의학과,0,0,11,25735000,1434,2339578,17947
경기,김포시,202012,전문서비스,개인병원,병원-내과,2,0,37,160749000,6412,4344560,25070
경기,김포시,202012,전문서비스,개인병원,병원-마취과,0,0,6,32141000,779,5356802,41259
경기,김포시,202012,전문서비스,개인병원,병원-산부인과,0,0,10,91022000,1499,9102236,60722
경기,김포시,202012,전문서비스,개인병원,병원-성형외과,2,0,4,11991000,43,2997783,278863
경기,김포시,202012,전문서비스,개인병원,병원-소아과,2,0,34,70721000,3433,2080032,20600
경기,김포시,202012,전문서비스,개인병원,병원-신경외과,1,0,5,16021000,502,3204228,31915
경기,김포시,202012,전문서비스,개인병원,병원-신경정신과,0,0,4,10609000,433,2652175,24500
경기,김포시,202012,전문서비스,개인병원,병원-안과,0,0,11,74362000,2627,6760141,28307
경기,김포시,202012,전문서비스,개인병원,병원-영상의학과,0,0,2,9776000,68,4887990,143764
경기,김포시,202012,전문서비스,개인병원,병원-외과,0,0,1,80000,9,80000,8889
경기,김포시,202012,전문서비스,개인병원,병원-이비인후과,0,0,23,44751000,3731,1945713,11994
경기,김포시,202012,전문서비스,개인병원,병원-일반,2,3,73,1461506000,18738,20020624,77997
경기,김포시,202012,전문서비스,개인병원,병원-재활의학과,0,0,3,15714000,370,5237933,42470
경기,김포시,202012,전문서비스,개인병원,병원-비뇨기과,0,0,1,5135000,318,5135100,16148
경기,김포시,202012,일반유통,주방,그릇/주방기기,2,2,32,107722000,812,3366319,132663
경기,김포시,202012,일반유통,전기/가전,조명기구,2,0,59,114176000,1614,1935185,70741
경기,김포시,202012,일반유통,전기/가전,전기자재/장비,0,0,9,17263000,326,1918099,52954
경기,김포시,202012,일반유통,과학기자재,측량/제도/정밀기기,0,0,1,48000,2,48000,24000
경기,김포시,202012,일반유통,기계류제조업,기계류 제조,4,0,66,100947000,500,1529503,201894
경기,김포시,202012,일반유통,기타제조업,가구 제조,0,0,1,826000,6,825550,137592
경기,김포시,202012,일반유통,기타제조업,기타 제조,3,1,161,199183000,1804,1237163,110412
경기,김포시,202012,일반유통,냉난방,냉난방기기,0,0,24,55086000,273,2295241,201779
경기,김포시,202012,일반유통,냉난방,보일러,0,0,1,791000,5,791000,158200
경기,김포시,202012,일반유통,문구용품,문구용품,0,2,62,123346000,7078,1989446,17427
경기,김포시,202012,일반유통,생활용품,생활용품,7,3,149,551032000,27319,3698201,20170
경기,김포시,202012,일반유통,생활용품,유리/거울,0,0,5,11984000,74,2396820,161947
경기,김포시,202012,일반유통,생활용품,인테리어 용품,0,0,4,2278000,7,569538,325450
경기,김포시,202012,일반유통,생활용품,커튼/카페트/수예,0,0,40,50155000,253,1253877,198241
경기,김포시,202012,일반유통,서점,서점,3,2,46,116455000,2196,2531639,53031
경기,김포시,202012,일반유통,옷감/직물,섬유,0,0,6,3149000,20,524817,157445
경기,김포시,202012,일반유통,의류,교복,0,0,4,4713000,33,1178250,142818
경기,김포시,202012,일반유통,의류,내의,1,0,29,63847000,1367,2201630,46706
경기,김포시,202012,일반유통,의류,아동복/유아복,0,1,14,5713000,108,408075,52899
경기,김포시,202012,일반유통,의류,의류,7,2,282,637167000,10973,2259457,58067
경기,김포시,202012,일반유통,의류,의류-기타,0,0,3,3247000,32,1082433,101478
경기,김포시,202012,일반유통,의류,한복,0,0,1,350000,3,350000,116667
경기,김포시,202012,일반유통,자동차,수입차,0,0,2,56919000,76,28459544,748935
경기,김포시,202012,일반유통,자동차,오토바이,1,0,19,21151000,95,1113206,222641
경기,김포시,202012,일반유통,자동차,중고차,2,1,7,73700000,25,10528614,2948012
경기,김포시,202012,일반유통,전기/가전,가전제품,5,0,51,1305066000,1611,25589538,810097
경기,김포시,202012,전문서비스,개인병원,병원-치과,3,1,141,875442000,7244,6208808,120851
